,Ciudad,genero,edad,P1.1,P6 bien,P2.1,P7 bien,Rango_EH_media,Rango_EV_media,TEMP,HUMEDAD,sens_vis_term_orig,pref_vis_term_orig
181,Cartagena,F,19.0,0.0,0.0,2.0,-3.0,1.0,1.0,28.5,62.0,0.00.01.0,-3.02.01.0
182,Cartagena,F,19.0,0.0,-1.0,2.0,-3.0,1.0,1.0,28.5,59.7,-1.00.01.0,-3.02.01.0
183,Cartagena,F,19.0,-1.0,-1.0,1.0,-3.0,1.0,1.0,28.3,61.8,-1.0-1.01.0,-3.01.01.0
184,Cartagena,F,19.0,-1.0,-1.0,1.0,-3.0,1.0,1.0,28.1,60.8,-1.0-1.01.0,-3.01.01.0
185,Cartagena,F,19.0,-1.0,-1.0,1.0,-3.0,1.0,1.0,28.0,61.2,-1.0-1.01.0,-3.01.01.0
186,Cartagena,M,19.0,0.0,0.0,1.0,-1.0,1.0,1.0,28.5,62.0,0.00.01.0,-1.01.01.0
187,Cartagena,M,19.0,2.0,3.0,0.0,-3.0,1.0,1.0,28.5,59.7,3.02.01.0,-3.00.01.0
188,Cartagena,M,19.0,-1.0,-1.0,1.0,-3.0,1.0,1.0,28.3,61.8,-1.0-1.01.0,-3.01.01.0
189,Cartagena,F,18.0,-1.0,1.0,2.0,-2.0,1.0,1.0,29.5,61.7,1.0-1.01.0,-2.02.01.0
190,Cartagena,F,18.0,-1.0,1.0,2.0,-2.0,1.0,1.0,29.6,61.6,1.0-1.01.0,-2.02.01.0
191,Cartagena,F,18.0,-1.0,1.0,2.0,-2.0,1.0,1.0,29.5,60.6,1.0-1.01.0,-2.02.01.0
192,Cartagena,F,18.0,0.0,1.0,1.0,-2.0,1.0,1.0,29.5,59.9,1.00.01.0,-2.01.01.0
193,Cartagena,F,18.0,0.0,1.0,1.0,-2.0,1.0,1.0,29.5,60.8,1.00.01.0,-2.01.01.0
194,Cartagena,F,18.0,-1.0,1.0,1.0,-2.0,1.0,1.0,29.5,61.7,1.0-1.01.0,-2.01.01.0
195,Cartagena,F,18.0,-1.0,2.0,1.0,-2.0,1.0,1.0,29.6,61.6,2.0-1.01.0,-2.01.01.0
196,Cartagena,F,18.0,-1.0,1.0,1.0,-2.0,1.0,1.0,29.5,60.6,1.0-1.01.0,-2.01.01.0
197,Cartagena,F,18.0,-1.0,1.0,1.0,-2.0,1.0,1.0,29.5,59.9,1.0-1.01.0,-2.01.01.0
198,Cartagena,F,18.0,-1.0,1.0,1.0,-2.0,1.0,1.0,29.5,60.8,1.0-1.01.0,-2.01.01.0
199,Cartagena,F,19.0,-1.0,1.0,1.0,-3.0,1.0,1.0,29.5,61.7,1.0-1.01.0,-3.01.01.0
200,Cartagena,F,19.0,-1.0,2.0,1.0,-3.0,1.0,1.0,29.6,61.6,2.0-1.01.0,-3.01.01.0
201,Cartagena,F,19.0,-1.0,2.0,1.0,-3.0,1.0,1.0,29.5,60.6,2.0-1.01.0,-3.01.01.0
202,Cartagena,F,19.0,-1.0,2.0,2.0,-3.0,1.0,1.0,29.5,59.9,2.0-1.01.0,-3.02.01.0
203,Cartagena,F,19.0,-1.0,2.0,2.0,-3.0,1.0,1.0,29.5,60.8,2.0-1.01.0,-3.02.01.0
204,Cartagena,F,18.0,-1.0,0.0,1.0,-2.0,1.0,1.0,29.5,61.7,0.0-1.01.0,-2.01.01.0
